edad,litología,fgdc_code,color_hex,svg_pattern_path
Paleógeno,Areniscas,PALEO_GRANITO,#FFD700,/opt/geoserver/data_dir/styles/icons/fgdc/granito.svg
Paleógeno,Diamictitas,CENOZOICO_ARENA,#00FF00,/opt/geoserver/data_dir/styles/icons/fgdc/arena.svg
Paleógeno,"Areniscas, pelitas y conglomerados",MESOZOICO_BASALTO,#FF6347,/opt/geoserver/data_dir/styles/icons/fgdc/basalto.svg
Paleógeno,"Arenas, gravas y limos",PALEO_GRANITO,#FFD700,/opt/geoserver/data_dir/styles/icons/fgdc/granito.svg
Paleógeno,Granitos,CENOZOICO_ARENA,#00FF00,/opt/geoserver/data_dir/styles/icons/fgdc/arena.svg
Paleógeno,"Limos, arenas",MESOZOICO_BASALTO,#FF6347,/opt/geoserver/data_dir/styles/icons/fgdc/basalto.svg
Paleógeno,"Areniscas, conglomerados, pelitas",PALEO_GRANITO,#FFD700,/opt/geoserver/data_dir/styles/icons/fgdc/granito.svg
Paleógeno,"Conglomerados, areniscas conglomerádicas, areniscas, pelitas y limolitas",CENOZOICO_ARENA,#00FF00,/opt/geoserver/data_dir/styles/icons/fgdc/arena.svg
Paleógeno,"Gabros, dioritas, ortoanfibolitas, serpentinitas",MESOZOICO_BASALTO,#FF6347,/opt/geoserver/data_dir/styles/icons/fgdc/basalto.svg
Paleógeno,Fajas miloníticas. Milonitas y protomilonitas,PALEO_GRANITO,#FFD700,/opt/geoserver/data_dir/styles/icons/fgdc/granito.svg
Paleógeno,Loess,CENOZOICO_ARENA,#00FF00,/opt/geoserver/data_dir/styles/icons/fgdc/arena.svg
Paleógeno,Sedimentos salinos,MESOZOICO_BASALTO,#FF6347,/opt/geoserver/data_dir/styles/icons/fgdc/basalto.svg
Paleógeno,Fanglomerados y conglomerados,PALEO_GRANITO,#FFD700,/opt/geoserver/data_dir/styles/icons/fgdc/granito.svg
Paleógeno,Arenas,CENOZOICO_ARENA,#00FF00,/opt/geoserver/data_dir/styles/icons/fgdc/arena.svg
Paleógeno,Gravas y arenas,MESOZOICO_BASALTO,#FF6347,/opt/geoserver/data_dir/styles/icons/fgdc/basalto.svg
Paleógeno,Riodacitas,PALEO_GRANITO,#FFD700,/opt/geoserver/data_dir/styles/icons/fgdc/granito.svg
Paleógeno,"Granodioritas, tonalitas",CENOZOICO_ARENA,#00FF00,/opt/geoserver/data_dir/styles/icons/fgdc/arena.svg
Paleógeno,"Granitoides peraluminosos, sienogranitos y monzogranitos pórfidicos, granodioritas",MESOZOICO_BASALTO,#FF6347,/opt/geoserver/data_dir/styles/icons/fgdc/basalto.svg
Paleógeno,"Areniscas, conglomerados y arcilitas",PALEO_GRANITO,#FFD700,/opt/geoserver/data_dir/styles/icons/fgdc/granito.svg
Paleógeno,Calcretes,CENOZOICO_ARENA,#00FF00,/opt/geoserver/data_dir/styles/icons/fgdc/arena.svg
Paleógeno,Calizas,MESOZOICO_BASALTO,#FF6347,/opt/geoserver/data_dir/styles/icons/fgdc/basalto.svg
Paleógeno,Areniscas y conglomerados,PALEO_GRANITO,#FFD700,/opt/geoserver/data_dir/styles/icons/fgdc/granito.svg
Paleógeno,Arenas y limos,CENOZOICO_ARENA,#00FF00,/opt/geoserver/data_dir/styles/icons/fgdc/arena.svg
Paleógeno,Filitas,MESOZOICO_BASALTO,#FF6347,/opt/geoserver/data_dir/styles/icons/fgdc/basalto.svg
Paleógeno,Basaltos,PALEO_GRANITO,#FFD700,/opt/geoserver/data_dir/styles/icons/fgdc/granito.svg
Paleógeno,Andesitas,CENOZOICO_ARENA,#00FF00,/opt/geoserver/data_dir/styles/icons/fgdc/arena.svg
Paleógeno,Gneises y metatexitas,MESOZOICO_BASALTO,#FF6347,/opt/geoserver/data_dir/styles/icons/fgdc/basalto.svg
