"id","processed","name_wd","name_rdl","name_pae","units_wd_id","units_rdl_id","value_min_PAE","value_max_PAE","value_min_RDL","value_max_RDL","value_null","asociado_id","group_id","group_sensor_id","import","required_rdl","required_pae","create_date"
"1347","PROCESSED","DATETIME"," ","","1","1","0","0","0","0","-999.25","0","1","14","SI","NO","NO","27/4/2021 16:45:16"
"1348","PROCESSED","Accum_Trip_In"," ","","16","16","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1349","PROCESSED","Accum_Trip_Out"," ","","16","16","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1350","PROCESSED","Acetylene"," ","","23","23","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1351","PROCESSED","AD_ROP"," ","","41","41","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1352","PROCESSED","Air_Pressure"," ","","6","6","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1353","PROCESSED","Alarm_Horn"," ","","18","18","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1354","PROCESSED","Altura_del_Bloque","BHT","Altura Bloque","2","2","0","27000","0","0","-999.25","0","1","14","SI","SI","SI","22/4/2022 14:05:56"
"1355","PROCESSED","Annular_Velocity"," ","","24","24","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1356","PROCESSED","Back_Pressure"," ","","6","6","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1357","PROCESSED","BHA_Length"," ","","26","26","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1358","PROCESSED","Bit_Position","profundidades","Posicion Trepano","10","10","0","7000","0","0","-999.25","0","1","14","SI","SI","SI","27/4/2021 16:45:16"
"1359","PROCESSED","Bit_Size"," ","","39","39","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1360","PROCESSED","Bit_Status"," ","","25","25","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1361","PROCESSED","Bit_Time"," ","","31","31","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1362","PROCESSED","Bit_TVD","profundidades","","26","10","0","7000","0","0","-999.25","0","1","14","NO","NO","NO","30/4/2021 10:24:05"
"1363","PROCESSED","Bit_TVD_-_WITS"," ","","26","26","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
"1364","PROCESSED","Bit_Weight","pesos","Peso sobre Trepano","7","4","0","30","0","0","-999.25","0","1","14","SI","NO","SI","30/4/2021 10:35:12"
"1365","PROCESSED","Bttm_Ann_Press"," ","","6","6","0","0","0","0","-999.25","0","1","14","NO","NO","NO","27/4/2021 16:45:16"
